Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
ewento01,188,Todd Ewen,29.0,SJS,RW,42.666666666666664,1.3333333333333333,1.6666666666666667,3.0,-4.0,180.0,-0.8333333333333334,1.3333333333333333,0.0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,29.333333333333332,2.566666666666667
grimsst01,237,Stu Grimson,31.0,MDA,LW,65.8,1.6,1.6,3.2,-5.8,171.0,-1.06,1.6,0.0,0.0,0.4,1.6,0.0,0.0,16.2,11.88
johnsma03,294,Matt Johnson,21.0,LAK,LW,36.4,1.2,1.6,2.8,-3.4,136.2,-0.5,1.2,0.0,0.0,0.0,1.6,0.0,0.0,11.4,11.08
kaminke01,301,Kevin Kaminski,26.0,WSH,C,39.666666666666664,1.0,1.6666666666666667,2.6666666666666665,-2.3333333333333335,132.0,-0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,13.666666666666666,7.5
daniesc01,140,Scott Daniels,27.0,NJD,LW,29.6,1.6,2.4,4.0,0.0,129.6,-0.25999999999999995,1.6,0.0,0.0,0.4,2.4,0.0,0.0,23.0,4.35
hunteti01,281,Tim Hunter,35.0,SJS,LW,46.666666666666664,1.6666666666666667,2.0,3.6666666666666665,-2.3333333333333335,125.66666666666667,-0.8333333333333334,1.6666666666666667,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,18.666666666666668,8.433333333333334
myhrebr01,479,Brantt Myhres,22.25,SJS,RW,28.75,1.5,0.25,1.75,-1.0,125.5,-0.275,1.5,0.0,0.0,0.5,0.25,0.0,0.0,6.0,29.133333333333336
vukotmi01,696,Mick Vukota,29.5,TOT,RW,38.0,0.75,0.75,1.5,-2.0,119.5,-0.7749999999999999,0.75,0.0,0.0,0.0,0.75,0.0,0.0,13.0,6.925
kordida01,348,Dan Kordic,25.5,PHI,LW,36.75,0.75,1.25,2.0,-1.25,113.25,-0.6,0.75,0.0,0.0,0.0,1.25,0.0,0.0,8.75,21.033333333333335
mcallch01,424,Chris McAllister,22.5,TOT,D,42.0,1.0,2.5,3.5,-7.5,104.0,0.2,1.0,0.0,0.0,0.0,2.5,0.0,0.0,16.5,6.15
vialde01,694,Dennis Vial,26.5,OTT,LW,30.25,0.25,2.25,2.5,-3.25,102.75,0.625,0.25,0.0,0.0,0.0,2.25,0.0,0.0,13.75,0.75
wooddo01,716,Dody Wood,23.5,SJS,C,23.25,1.75,2.25,4.0,-1.5,100.0,-0.125,1.5,0.0,0.25,0.0,2.25,0.0,0.0,21.25,9.025
debrulo01,147,Louie DeBrusk,25.0,PHX,LW,34.6,1.2,1.0,2.2,-4.2,96.6,-0.58,1.2,0.0,0.0,0.0,1.0,0.0,0.0,12.2,9.46
antossh01,13,Shawn Antoski,25.5,MDA,LW,30.0,0.5,0.75,1.25,-1.5,95.0,-0.7,0.5,0.0,0.0,0.0,0.75,0.0,0.0,14.75,4.8999999999999995
chynode01,102,Dean Chynoweth,27.5,BOS,D,35.0,0.5,2.75,3.25,-3.0,94.0,1.0,0.5,0.0,0.0,0.0,2.75,0.0,0.0,22.75,1.325
russeca01,583,Cam Russell,28.0,TOT,D,44.2,1.2,1.8,3.0,0.6,91.0,1.6800000000000002,1.2,0.0,0.0,0.2,1.8,0.0,0.0,18.4,6.459999999999999
leboupe01,364,Peter LeBoutillier,22.5,MDA,RW,17.5,1.0,0.5,1.5,-0.5,88.0,-0.2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,5.5,18.35
cairner01,81,Eric Cairns,23.0,NYI,D,29.333333333333332,0.0,2.3333333333333335,2.3333333333333335,-3.0,87.33333333333333,0.7999999999999999,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,12.0,0.0
dingmch01,163,Chris Dingman,21.5,TOT,LW,36.5,1.5,1.5,3.0,-6.5,86.5,-0.75,1.0,0.5,0.0,0.0,1.5,0.0,0.0,24.0,3.2
